Canada;Nord America;*
Vietnam;Sud-Est Asiatico;*
Holand-Netherlands;Europa Occidentale;*
Hungary;Europe;*
Dominican-Republic;North America;*
Ecuador;South America;*
Thailand;Sud-Est Asiatico;*
Laos;Sud-Est Asiatico;*
Yugoslavia;Europa Orientale;*
Philippines;Southeast Asia;*
Nicaragua;Central America;*
Cambodia;Southeast Asia;*
Scotland;UK;*
Cuba;Caribbean;*
El-Salvador;Central America;*
Poland;Europe;*
Haiti;North America;*
Ireland;Europe;*
Peru;Sud America;*
China;Asia;*
Columbia;Sud America;*
Portugal;Europa;*
India;Asia;*
Puerto-Rico;America;*
Jamaica;Caribbean;*
Italy;Southern Europe;*
South;Africa;*
Hong;Asia;*
Iran;Asia;*
Outlying-US(Guam-USVI-etc);Oceania;*
United-States;North America;*
Trinadad&Tobago;Caribbean;*
Taiwan;East Asia;*
Greece;Europe;*
Japan;Asia;*
England;Europe;*
Mexico;America;*
France;Europa;*
Guatemala;America;*
Honduras;America Centrale;*
Germany;Europa Centrale;*
