Poland;Europa;*
Thailand;Asia;*
Japan;Asia;*
England;Europa;*
Cuba;America;*
Dominican-Republic;America;*
Philippines;Asia;*
China;Asia;*
Guatemala;Americas;*
Scotland;Regno Unito;*
Taiwan;Asia;*
Columbia;Sud America;*
Portugal;Europa;*
Canada;Nord America;*
Cambodia;Asia;*
El-Salvador;America Centrale;*
Germany;Europa Occidentale;*
Iran;Medio Oriente;*
United-States;North-America;*
Hong;Asia;*
Outlying-US(Guam-USVI-etc);North-America;*
Jamaica;America;*
Italy;Europa;*
Ecuador;America;*
Greece;Europe;*
Laos;Asia;*
Holand-Netherlands;Europe;*
Peru;Sud America;*
Haiti;America Centrale;*
Puerto-Rico;America Centrale;*
Hungary;Europe;*
France;Europe;*
South;America;*
Yugoslavia;Europa;*
India;Asia;*
Ireland;Europa;*
Honduras;America Centrale;*
Vietnam;Sud-Est Asiatico;*
Trinadad&Tobago;America del Sud;*
Mexico;America del Nord;*
Nicaragua;America Centrale;*
