native_exponential,native_uniform_bias,eta_45_normal,eta_exponential5,eta_70_normal,native_uniform,native_exponential_bias,eta_uniform5,native_normal
Taiwan,Holand-Netherlands,63,54,70,Ecuador,Hungary,16,Haiti
England,Canada,57,29,57,Vietnam,Greece,1,USA
Cambodia,Vietnam,34,45,65,Columbia,United-States,10,USA
Columbia,Dominican-Republic,11,3,63,South,Hungary,32,USA
Taiwan,Vietnam,34,9,60,Haiti,Trinadad&Tobago,85,USA
Ecuador,Ecuador,25,23,59,Ireland,Portugal,89,Mexico
South,Hungary,40,28,73,Ecuador,Poland,48,USA
India,Laos,21,1,65,El-Salvador,Hungary,30,USA
Yugoslavia,Thailand,52,39,71,El-Salvador,Canada,31,Japan
Portugal,Yugoslavia,40,75,68,Columbia,Hong,1,Holand-Netherlands
Vietnam,Philippines,57,7,81,Yugoslavia,Canada,100,USA
Ireland,Cambodia,84,11,82,Nicaragua,Hungary,40,USA
Greece,Canada,57,1,48,Nicaragua,Scotland,50,USA
Italy,Nicaragua,56,90,69,India,Canada,33,USA
Columbia,El-Salvador,49,1,65,Ecuador,Philippines,3,USA
Holand-Netherlands,Cambodia,18,35,73,Vietnam,Cambodia,70,USA
Philippines,Cuba,85,31,64,England,Canada,18,USA
Yugoslavia,Hungary,58,68,73,Canada,Haiti,1,USA
Taiwan,Scotland,40,1,67,Yugoslavia,Thailand,100,Haiti
Yugoslavia,El-Salvador,71,33,55,Taiwan,Thailand,18,USA
Guatemala,Poland,44,1,66,South,Yugoslavia,84,USA
Yugoslavia,Thailand,55,11,66,El-Salvador,Canada,27,Japan
Cambodia,El-Salvador,69,8,64,Thailand,Trinadad&Tobago,46,USA
South,Dominican-Republic,59,32,70,Puerto-Rico,Jamaica,7,USA
Puerto-Rico,Cuba,51,12,64,England,Scotland,10,USA
Guatemala,Ireland,38,38,76,Ecuador,Hungary,69,USA
Hong,Haiti,23,33,69,Iran,Dominican-Republic,5,Germany
Cambodia,China,36,45,75,Holand-Netherlands,Ecuador,67,USA
Ireland,Peru,50,18,84,Peru,Trinadad&Tobago,99,USA
India,Columbia,66,68,72,England,Cuba,90,Italy
South,Portugal,52,24,74,Poland,Canada,65,Ireland
Honduras,India,19,8,67,South,Canada,79,USA
Cambodia,Puerto-Rico,16,50,68,Columbia,Thailand,1,USA
Honduras,Laos,72,26,73,Japan,India,40,USA
Jamaica,South,62,6,67,Jamaica,Germany,37,USA
Hungary,Portugal,28,13,70,Dominican-Republic,India,40,USA
South,Portugal,65,9,71,Poland,Canada,55,Ireland
Taiwan,Laos,69,1,69,Haiti,Hungary,41,El-Salvador
Peru,Ecuador,50,15,77,Haiti,Scotland,35,USA
Canada,Thailand,49,1,68,Canada,Columbia,93,Honduras
Holand-Netherlands,Ireland,18,29,66,France,Cuba,34,USA
Portugal,Hungary,25,20,66,Taiwan,Columbia,39,USA
Yugoslavia,Italy,52,18,67,Japan,India,22,United-States
England,Jamaica,28,48,72,Iran,Thailand,14,USA
Laos,Hungary,59,1,76,Ecuador,Hungary,81,Yugoslavia
Guatemala,Thailand,66,30,71,Hong,Peru,21,Greece
England,Haiti,26,74,60,Cuba,Iran,69,USA
China,Jamaica,52,15,72,England,Poland,14,Germany
Yugoslavia,Iran,61,35,73,Hong,Italy,78,USA
Cuba,Columbia,20,2,70,Hungary,Ecuador,36,USA
Scotland,Laos,52,1,73,Outlying-US(Guam-USVI-etc),Holand-Netherlands,51,USA
Taiwan,Hong,63,39,69,Guatemala,Cuba,9,Cuba
Honduras,Yugoslavia,51,53,66,Guatemala,India,59,USA
Guatemala,China,40,13,61,Greece,India,68,USA
Taiwan,Ecuador,44,6,65,Vietnam,Cambodia,78,Honduras
Holand-Netherlands,Laos,33,14,71,Dominican-Republic,Trinadad&Tobago,11,England
Guatemala,Yugoslavia,49,71,62,Portugal,Ecuador,70,USA
Cambodia,Puerto-Rico,38,50,78,Columbia,Thailand,1,USA
Ireland,Hong,34,24,76,Thailand,Philippines,89,Trinadad&Tobago
Guatemala,Outlying-US(Guam-USVI-etc),26,27,76,Canada,Dominican-Republic,99,Japan
England,Taiwan,54,92,74,Hungary,Nicaragua,100,USA
Portugal,Dominican-Republic,47,1,67,Portugal,Nicaragua,1,USA
South,Cambodia,39,1,59,Ecuador,Hungary,61,Taiwan
Holand-Netherlands,Italy,43,67,71,United-States,Canada,22,USA
England,Vietnam,91,41,73,Poland,Hungary,41,USA
South,Hong,3,7,62,England,Trinadad&Tobago,16,USA
Taiwan,Trinadad&Tobago,39,36,81,Germany,Canada,100,Columbia
England,Laos,43,1,67,Mexico,Peru,73,Puerto-Rico
Dominican-Republic,Italy,61,9,75,Hong,Cuba,39,USA
Holand-Netherlands,Nicaragua,64,26,72,France,Columbia,30,South
Laos,El-Salvador,56,11,74,Peru,Peru,88,Outlying-US(Guam-USVI-etc)
Ecuador,Taiwan,86,21,71,Vietnam,Ecuador,1,Puerto-Rico
China,Philippines,71,1,79,Mexico,Canada,53,Laos
Ireland,Outlying-US(Guam-USVI-etc),45,8,65,Dominican-Republic,Yugoslavia,49,Ireland
Jamaica,Poland,42,36,62,France,El-Salvador,74,Trinadad&Tobago
Ireland,Peru,31,68,85,Peru,Trinadad&Tobago,71,USA
England,United-States,82,43,69,Scotland,Columbia,100,USA
France,Jamaica,42,68,70,England,Ecuador,28,Yugoslavia
Taiwan,Portugal,37,82,74,Ecuador,Thailand,63,USA
Greece,India,12,42,58,Haiti,Nicaragua,94,Guatemala
Ireland,Vietnam,60,43,68,Cambodia,Cambodia,100,USA
Cambodia,Hungary,74,17,72,Mexico,Ecuador,1,Germany
Yugoslavia,Japan,63,9,69,Cambodia,United-States,69,Philippines
Cambodia,Japan,24,19,64,Hong,India,33,Poland
Taiwan,Poland,31,15,70,El-Salvador,Canada,10,USA
Hungary,Greece,88,14,63,Mexico,Peru,75,Holand-Netherlands
Peru,Cambodia,16,1,65,Vietnam,Poland,1,USA
Dominican-Republic,Peru,38,21,64,United-States,Ecuador,38,USA
South,Cuba,43,19,79,Nicaragua,Hungary,39,USA
South,El-Salvador,26,31,69,Laos,Ecuador,4,USA
Haiti,South,5,43,74,Dominican-Republic,Germany,48,USA
Guatemala,United-States,10,1,73,Nicaragua,Canada,1,USA
South,Cuba,31,14,75,Canada,Hungary,82,USA
Yugoslavia,Japan,56,19,67,Cambodia,United-States,63,Philippines
France,India,1,15,73,Ireland,Italy,34,England
Taiwan,Hungary,47,10,57,France,Hungary,18,France
Scotland,China,37,28,73,Cuba,Scotland,36,USA
Canada,Columbia,54,1,69,Laos,Scotland,92,USA
Poland,Puerto-Rico,46,27,69,India,Iran,68,USA
Portugal,Yugoslavia,51,66,72,Columbia,Hong,20,Holand-Netherlands
Canada,Scotland,43,22,73,Cambodia,Nicaragua,35,Haiti
Cambodia,Vietnam,35,29,68,Columbia,United-States,3,USA
Thailand,England,58,17,66,Philippines,Ecuador,43,USA
Cambodia,Haiti,23,26,61,United-States,Cuba,58,USA
South,Scotland,28,20,78,England,Cuba,71,France
Columbia,Philippines,80,16,68,Vietnam,Holand-Netherlands,1,Ecuador
France,Taiwan,35,1,65,South,Yugoslavia,63,Greece
Honduras,Philippines,61,19,63,Portugal,Canada,66,USA
Laos,Trinadad&Tobago,37,14,66,Puerto-Rico,Cambodia,90,Hungary
Jamaica,Mexico,38,1,75,Cambodia,Nicaragua,3,USA
Portugal,Canada,67,2,67,Holand-Netherlands,Cuba,35,Thailand
Guatemala,Taiwan,63,15,65,Yugoslavia,Hungary,27,USA
Guatemala,France,69,44,77,Hungary,Philippines,23,USA
Honduras,Puerto-Rico,75,13,71,France,Haiti,97,Poland
Outlying-US(Guam-USVI-etc),Poland,26,8,72,Canada,Cambodia,31,USA
Honduras,Puerto-Rico,38,19,74,Portugal,Canada,41,Italy
Guatemala,Cuba,78,32,67,Philippines,Hungary,35,USA
Yugoslavia,Hong,71,57,59,Japan,Scotland,42,USA
Guatemala,Haiti,43,54,56,Peru,Outlying-US(Guam-USVI-etc),51,Haiti
Taiwan,Guatemala,40,32,82,Portugal,Peru,40,Holand-Netherlands
Italy,Nicaragua,65,86,70,India,Canada,32,USA
Yugoslavia,Ecuador,60,43,71,Poland,Philippines,56,USA
Taiwan,Scotland,13,14,72,Yugoslavia,Thailand,100,Haiti
Taiwan,Columbia,39,1,67,United-States,Philippines,6,USA
England,India,55,36,61,Trinadad&Tobago,Scotland,20,USA
Peru,Japan,42,24,59,Germany,Poland,66,Hungary
Greece,Holand-Netherlands,68,22,68,Japan,Thailand,31,Yugoslavia
South,India,17,64,70,Vietnam,Canada,100,Jamaica
Yugoslavia,Nicaragua,12,1,67,Nicaragua,Hungary,6,USA
Yugoslavia,Laos,53,39,65,Jamaica,Thailand,42,USA
Mexico,Jamaica,92,50,66,Scotland,South,6,Haiti
Taiwan,Iran,51,15,67,Italy,Hong,52,USA
Holand-Netherlands,Holand-Netherlands,38,7,68,Portugal,India,81,USA
Portugal,Dominican-Republic,19,15,64,Mexico,Canada,62,USA
Cambodia,Hong,30,1,67,Puerto-Rico,Dominican-Republic,100,USA
Jamaica,Italy,39,28,62,Scotland,South,36,USA
Yugoslavia,Hungary,23,14,72,Honduras,Cambodia,75,Scotland
Jamaica,Italy,33,52,67,Italy,Yugoslavia,14,USA
Columbia,El-Salvador,26,8,72,Ecuador,Philippines,10,USA
China,Taiwan,1,56,61,Jamaica,Hungary,45,USA
Columbia,India,76,1,73,China,Peru,16,Columbia
Yugoslavia,Hong,89,17,60,Germany,Hungary,88,Greece
India,Trinadad&Tobago,80,17,63,Columbia,Dominican-Republic,28,Outlying-US(Guam-USVI-etc)
Greece,South,17,29,74,Italy,Hungary,40,USA
Cambodia,Hong,38,1,54,Iran,Trinadad&Tobago,74,Honduras
Portugal,Laos,35,11,68,Guatemala,Trinadad&Tobago,74,USA
China,Italy,44,21,65,Germany,Cambodia,91,Thailand
Guatemala,Nicaragua,77,2,81,Philippines,Cuba,34,USA
Guatemala,Holand-Netherlands,27,38,69,El-Salvador,Scotland,27,Nicaragua
Jamaica,Taiwan,77,27,72,El-Salvador,Philippines,1,USA
South,Cambodia,35,69,67,Portugal,Haiti,7,USA
China,Cambodia,1,1,54,Italy,Poland,2,England
Guatemala,Columbia,57,1,75,United-States,Hong,91,England
Guatemala,Taiwan,58,7,74,Yugoslavia,Hungary,8,USA
Ireland,Germany,81,3,63,Outlying-US(Guam-USVI-etc),Trinadad&Tobago,10,USA
England,Vietnam,25,1,67,Nicaragua,Scotland,91,USA
South,India,45,7,68,Outlying-US(Guam-USVI-etc),Hungary,48,Portugal
Greece,Hungary,53,3,68,Peru,Canada,94,USA
Guatemala,Laos,41,1,76,India,Hong,9,USA
Jamaica,Peru,44,1,78,Philippines,Thailand,27,Vietnam
Thailand,Laos,29,3,64,Trinadad&Tobago,Haiti,1,USA
France,Taiwan,25,1,69,South,Yugoslavia,72,Greece
Guatemala,Holand-Netherlands,39,23,64,Taiwan,Canada,71,China
Canada,Scotland,57,38,64,Canada,Peru,42,USA
Scotland,Thailand,97,27,75,Italy,Portugal,3,Jamaica
Laos,Trinadad&Tobago,35,1,66,Puerto-Rico,Cambodia,61,Hungary
Taiwan,Holand-Netherlands,69,25,73,Outlying-US(Guam-USVI-etc),Thailand,83,Greece
Guatemala,Haiti,65,9,70,Trinadad&Tobago,Canada,1,USA
Italy,Guatemala,35,1,65,Poland,Vietnam,81,USA
Taiwan,Columbia,60,23,74,Italy,Peru,95,England
Scotland,France,73,1,73,Thailand,Germany,82,Ireland
Jamaica,Peru,53,1,74,Philippines,Thailand,34,Vietnam
Taiwan,Hungary,14,19,66,Canada,Honduras,22,Germany
